location,name,freq,weighting,n_factors,date,ret
dnk,accruals,monthly,vw_cap,6,2009-10-31,0.00997471659795559
dnk,accruals,monthly,vw_cap,6,2009-11-30,0.00411467466450283
dnk,accruals,monthly,vw_cap,6,2009-12-31,0.0160738924984753
dnk,accruals,monthly,vw_cap,6,2010-01-31,-0.0165473185471016
dnk,accruals,monthly,vw_cap,6,2010-02-28,-0.0164305126083552
dnk,accruals,monthly,vw_cap,6,2010-03-31,-0.000977336462926751
dnk,accruals,monthly,vw_cap,6,2010-04-30,-0.00257282212298636
dnk,accruals,monthly,vw_cap,6,2010-05-31,0.000921859578938714
dnk,accruals,monthly,vw_cap,6,2010-06-30,0.026458313370738
dnk,accruals,monthly,vw_cap,6,2010-07-31,-0.0218188222293036
dnk,accruals,monthly,vw_cap,6,2010-08-31,0.0424853877627272
dnk,accruals,monthly,vw_cap,6,2010-09-30,0.0549363398908018
dnk,accruals,monthly,vw_cap,6,2010-10-31,0.0330119674878623
dnk,accruals,monthly,vw_cap,6,2010-11-30,0.010248895687125
dnk,accruals,monthly,vw_cap,6,2010-12-31,-0.0138825714432416
dnk,accruals,monthly,vw_cap,6,2011-01-31,-0.00172721352417448
dnk,accruals,monthly,vw_cap,6,2011-02-28,0.00929844808388113
dnk,accruals,monthly,vw_cap,6,2011-03-31,-0.0201090234215234
dnk,accruals,monthly,vw_cap,6,2011-04-30,0.0425208705970603
dnk,accruals,monthly,vw_cap,6,2011-05-31,0.0257313432126301
dnk,accruals,monthly,vw_cap,6,2011-06-30,-0.0153468107285113
dnk,accruals,monthly,vw_cap,6,2011-07-31,-0.0276501181845945
dnk,accruals,monthly,vw_cap,6,2011-08-31,0.0544068256679615
dnk,accruals,monthly,vw_cap,6,2011-09-30,-0.0127190172182224
dnk,accruals,monthly,vw_cap,6,2011-10-31,0.00254333506686188
dnk,accruals,monthly,vw_cap,6,2011-11-30,-0.00104304709598069
dnk,accruals,monthly,vw_cap,6,2011-12-31,0.00634312998187792
dnk,accruals,monthly,vw_cap,6,2012-01-31,-0.0653438768600878
dnk,accruals,monthly,vw_cap,6,2012-02-29,-0.0347949862670359
dnk,accruals,monthly,vw_cap,6,2012-03-31,0.0157740493059023
dnk,accruals,monthly,vw_cap,6,2012-04-30,0.00216229514932937
dnk,accruals,monthly,vw_cap,6,2012-05-31,-0.00766613253788255
dnk,accruals,monthly,vw_cap,6,2012-06-30,0.00952158976369802
dnk,accruals,monthly,vw_cap,6,2012-07-31,-0.0345455160731781
dnk,accruals,monthly,vw_cap,6,2012-08-31,-0.0053079851690561
dnk,accruals,monthly,vw_cap,6,2012-09-30,0.0104591332256432
dnk,accruals,monthly,vw_cap,6,2012-10-31,0.0131066889218616
dnk,accruals,monthly,vw_cap,6,2012-11-30,-0.0497589932223607
dnk,accruals,monthly,vw_cap,6,2012-12-31,0.0243185175101209
dnk,accruals,monthly,vw_cap,6,2013-01-31,-0.0300213654911622
dnk,accruals,monthly,vw_cap,6,2013-02-28,0.0200263423096654
dnk,accruals,monthly,vw_cap,6,2013-03-31,-0.0115645186635687
dnk,accruals,monthly,vw_cap,6,2013-04-30,-0.0212192612151984
dnk,accruals,monthly,vw_cap,6,2013-05-31,0.0467087567341157
dnk,accruals,monthly,vw_cap,6,2013-06-30,-0.0203452329940479
dnk,accruals,monthly,vw_cap,6,2013-07-31,0.0109417306928552
dnk,accruals,monthly,vw_cap,6,2013-08-31,0.0146095024352782
dnk,accruals,monthly,vw_cap,6,2013-09-30,0.025421227844
dnk,accruals,monthly,vw_cap,6,2013-10-31,0.0125616606690534
dnk,accruals,monthly,vw_cap,6,2013-11-30,0.00472455324687945
dnk,accruals,monthly,vw_cap,6,2013-12-31,0.0108788978696992
dnk,accruals,monthly,vw_cap,6,2014-01-31,-0.0458697351677914
dnk,accruals,monthly,vw_cap,6,2014-02-28,-0.0144053082857032
dnk,accruals,monthly,vw_cap,6,2014-03-31,0.0360128993033279
dnk,accruals,monthly,vw_cap,6,2014-04-30,0.00987365166462718
dnk,accruals,monthly,vw_cap,6,2014-05-31,0.0232079295060713
dnk,accruals,monthly,vw_cap,6,2014-06-30,-0.0298859208892977
dnk,accruals,monthly,vw_cap,6,2014-07-31,-0.0409365495680775
dnk,accruals,monthly,vw_cap,6,2014-08-31,-0.0264065120432367
dnk,accruals,monthly,vw_cap,6,2014-09-30,-0.047763964406637
dnk,accruals,monthly,vw_cap,6,2014-10-31,0.000287193623764688
dnk,accruals,monthly,vw_cap,6,2014-11-30,-0.00205923347998844
dnk,accruals,monthly,vw_cap,6,2014-12-31,-0.0198552076333468
dnk,accruals,monthly,vw_cap,6,2015-01-31,-0.010193296349157
dnk,accruals,monthly,vw_cap,6,2015-02-28,0.0353166132948056
dnk,accruals,monthly,vw_cap,6,2015-03-31,-0.0210917803860606
dnk,accruals,monthly,vw_cap,6,2015-04-30,-0.0075642065793222
dnk,accruals,monthly,vw_cap,6,2015-05-31,-0.0046668966955486
dnk,accruals,monthly,vw_cap,6,2015-06-30,-0.000195342161011709
dnk,accruals,monthly,vw_cap,6,2015-07-31,0.000889576505736315
